AOI COVERAGE REPORT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Name:, PH_PH95235939_J_BOT_A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Program Generated:, Date: 2023 12 13 Time: 14:32:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Components Detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained,657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Untrained,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Components,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage,100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trained But Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UnTrained But Skipped,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Skipped Components,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage (Excluded Skip Component),100%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RefDes, Part Number, Type, Z-Height, Presence Mode, Locator Image Plane, Presence Threshold, Hor Threshold, Ver threshold, Skew threshold,  Billboard, Flipped, Bridging, Joints, Side Fillets, Lead Ringer, Tweeze, OCR, OCV, OCI, VPOD, CPM, LiftedLead, Coplan, Damaged, Polarity, TombStone, Foreign Material, Custom Inspection, AWC Inspection, 3D Geometry Measure, Through Hole Tech, Alternates, Comment, Gap Detector, Periodic Check
1:d14,PH35133293,bph35133293,---,3D Mode,3D Only,60,190,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:d14,PH35133293,bph35133293,---,3D Mode,3D Only,60,190,180,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:d16,PH35224760,bph35224760,---,3D Mode,3D Only,60,250,250,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
2:d16,PH35224760,bph35224760,---,3D Mode,3D Only,60,250,250,5,On,---,---,On,---,---,---,Off,On,---,---,---,On,On,On,On,---,On,Off,Off,Off,---,Off,,---,Off
1:d23,PH35237918,bph35237918,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
2:d23,PH35237918,bph35237918,---,3D Mode,3D Only,60,150,150,5,On,---,On,On,---,---,---,Off,On,---,---,---,On,On,On,Off,---,On,Off,Off,Off,---,Off,,---,Off
1:d13,PH35240330,bph35240330,---,3D Mode,3D Only (Edge),50,515,750,7,On,---,---,On,---,---,---,Off,Off,---,---,---,On,On,On,On,---,Off,Off,Off,Off,---,Off,,---,Off
1:d12,PH35240330,bph35240330,---,3D Mode,3D Only (Edge),50,515,750,7,On,---,---,On,---,---,---,Off,Off,---,---,---,On,On,On,On,---,Off,Off,Off,Off,---,Off,,---,Off
2:d13,PH35240330,bph35240330,---,3D Mode,3D Only (Edge),50,515,750,7,On,---,---,On,---,---,---,Off,Off,---,---,---,On,On,On,On,---,Off,Off,Off,Off,---,Off,,---,Off
2:d12,PH35240330,bph35240330,---,3D Mode,3D Only (Edge),50,515,750,7,On,---,---,On,---,---,---,Off,Off,---,---,---,On,On,On,On,---,Off,Off,Off,Off,---,Off,,---,Off
1:c124,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c79,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c77,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c123,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c82,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c84,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c83,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c78,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c81,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c101,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c71,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c68,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c86,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c74,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c70,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c80,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c85,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c25,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c67,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c103,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c87,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c128,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c66,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c92,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c104,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c75,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c65,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c89,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c69,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
1:c64,PH15186021,c0805-sh,---,3D Mode,3D Only,60,180,180,7,On,---,---,On,Off,---,---,Off,Off,---,---,---,---,On,On,Off,---,On,On,---,Off,---,Off,,---,Off
